baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000038235.4	1182.37638574554	-2.21707080235051	0.129690657774243	-17.0950694552714	1.61503515929979e-65	1.76773716086957e-63
ENSMUSG00000035773.6	203.493418701969	-4.55930292490563	0.267576186430355	-17.0392701448129	4.19939454311326e-65	4.57225657438863e-63
ENSMUSG00000026202.13	1810.8281997707	-2.18154576847145	0.12870011084167	-16.950612973094	1.90457692204108e-64	2.06282632388816e-62
ENSMUSG00000041235.12	258.328006028954	-2.95772585201856	0.174785678199762	-16.9220149069547	3.09653180860567e-64	3.33635174607424e-62
ENSMUSG00000028766.10	185.315712025544	-4.67856735900224	0.276520857947294	-16.9194012839856	3.23704367561528e-64	3.46967474183696e-62
ENSMUSG00000074743.4	2624.36174006829	1.5568542513717	0.0921852779663414	16.8883175894977	5.48447334109357e-64	5.84831443336096e-62
ENSMUSG00000030411.16	265.128346085848	-3.43755766191667	0.203641653130572	-16.8804250460124	6.26918228652858e-64	6.65079866468804e-62
ENSMUSG00000035834.11	552.64320780933	-2.84889908961017	0.168812249307798	-16.8761396242979	6.74113721150395e-64	7.11499517828481e-62
ENSMUSG00000029168.14	536.57963973434	-8.48357039139503	0.503037020745715	-16.8647038717325	8.18110953631607e-64	8.59099558262795e-62
ENSMUSG00000001021.13	202.405396115238	-5.76682007023957	0.342419069412583	-16.8414103809478	1.21310332330384e-63	1.26744790147407e-61
ENSMUSG00000034730.17	368.908600275052	-7.41067402117343	0.440088325598206	-16.8390606842392	1.26224239015579e-63	1.31216122236949e-61
ENSMUSG00000032561.15	197.101691117358	-4.83733323163081	0.287893777171436	-16.8024931943918	2.33997969086067e-63	2.42035799324173e-61
ENSMUSG00000029246.14	914.495017466179	-2.06111230596341	0.122700588591127	-16.7979007242714	2.52835301187123e-63	2.60219098291443e-61
